傲云世家	ao yun shi jia
巫鬼世家家主	wu gui shi jia jia zhu
巫鬼世家少爷	wu gui shi jia shao ye
巫魂	wu hun
无极本无始	wu ji ben wu shi
无尽荒漠	wu jin huang mo
乌兰帝国	wu lan di guo
五雷魔宗	wu lei mo zong
巫蛮	wu man
巫明	wu ming
武器法宝	wu qi fa bao
无始方无尽	wu shi fang wu jin
无相神宗	wu xiang shen zong
巫羽	wu yu
巫岳	wu yue
西院	xi yuan
萧狂	xiao kuang
萧狼	xiao lang
萧凝	xiao ning
肖凝儿	xiao ning er
小天源世界	xiao tian yuan shi jie
萧武	xiao wu
萧雪	xiao xue
萧阳	xiao yang
肖翼	xiao yi
肖芸	xiao yun
肖云峰	xiao yun feng
修炼黑狱法则	xiu lian hei yu fa ze
须发皆白的长者	xu fa jie bai de zhang zhe
旋灵商会	xuan ling shang hui
穴居人	xue ju ren
雪熊	xue xiong
血妖	xue yao
薛姨	xue yi
血羽族	xue yu zu
血月沼泽	xue yue zhao ze
严昊	yan hao
炎阳	yan yang
杨欣	yang xin
妖灵	yao ling
妖灵之力	yao ling zhi li
妖盟	yao meng
妖神一出	yao shen yi chu
妖神宗	yao shen zong
妖主	yao zhu
妖族	yao zu
叶寒	ye han
叶鸿	ye hong
叶家嫡女	ye jia di nv
叶墨	ye mo
叶墨孙女	ye mo sun nv
叶墨修炼	ye mo xiu lian
叶胜	ye sheng
叶朔	ye shuo
叶修	ye xiu
叶轩	ye xuan
叶延	ye yan
叶延始祖	ye yan shi zu
叶延师祖	ye yan shi zu
叶紫芸	ye zi yun
叶紫芸的父亲	ye zi yun de fu qin
叶紫芸的爷爷	ye zi yun de ye ye
叶宗	ye zong
叶宗女儿	ye zong nv er
翼龙家族长老	yi long jia zu zhang lao
翼龙世家	yi long shi jia
翼龙世家家主	yi long shi jia jia zhu
翼龙形	yi long xing
银虎世家	yin hu shi jia
银翼世家	yin yi shi jia
银翼世家谪系独女	yin yi shi jia zhe xi du nv
银翼世家族长	yin yi shi jia zu zhang
影妖	ying yao
影妖妖灵	ying yao yao ling
应月茹	ying yue ru
佣兵工会	yong bing gong hui
羽神宗	yu shen zong
羽神宗金氏宗族子弟	yu shen zong jin shi zong zu zi di
羽神宗宗主	yu shen zong zong zhu
羽焰	yu yan
羽焰神格	yu yan shen ge
玉印世家	yu yin shi jia
玉印世家家	yu yin shi jia jia
云灵	yun ling
云梦世界	yun meng shi jie
张铭	zhang ming
烛龙	zhu long
朱翔俊	zhu xiang jun
