暗杠	an gang
全双由序数牌	quan shuang you xu shu pai
全小	quan xiao
全小由序数牌	quan xiao you xu shu pai
全幺	quan yao
全幺九	quan yao jiu
全中	quan zhong
全中由序数牌	quan zhong you xu shu pai
全庄	quan zhuang
全庄战	quan zhuang zhan
全字	quan zi
雀龙门	que long men
缺门	que men
雀圣	que sheng
雀士	que shi
雀头	que tou
雀头符	que tou fu
缺一门	que yi men
雀庄	que zhuang
雀桌	que zhuo
染手	ran shou
人和	ren hu
荣和	rong hu
三暗刻	san an ke
三倍满	san bei man
三倍满贯	san bei man guan
三倍役满	san bei yi man
三本场	san ben chang
三饼	san bing
三步高	san bu gao
三番	san fan
三风刻	san feng ke
三杠	san gang
三杠子	san gang zi
三家和流局	san jia he liu ju
三家和	san jia hu
三家胡	san jia hu
三家胡流局	san jia hu liu ju
三连刻	san lian ke
三连碰	san lian peng
三麻	san ma
三摸一	san mo yi
三缺一	san que yi
三人麻	san ren ma
三人麻将	san ren ma jiang
三色节节高	san se jie jie gao
三色连刻	san se lian ke
三色三步高	san se san bu gao
三色三节高	san se san jie gao
三色三同顺	san se san tong shun
三色双龙会	san se shuang long hui
三色通贯	san se tong guan
三色同刻	san se tong ke
三色同顺	san se tong shun
三索	san suo
三条	san tiao
三筒	san tong
三同刻	san tong ke
三万	san wan
三峡麻将	san xia ma jiang
三向听	san xiang ting
三元会	san yuan hui
三元及第	san yuan ji di
三元牌	san yuan pai
三元七对	san yuan qi dui
三元七对子	san yuan qi dui zi
散张	san zhang
三姊妹	san zi mei
山牌	shan pai
上海麻将	shang hai ma jiang
上家	shang jia
上牌	shang pai
上张	shang zhang
烧鸡	shao ji
少张	shao zhang
烧猪	shao zhu
捨牌	she pai
审牌	shen pai
沈阳麻将	shen yang ma jiang
生牌	sheng pai
十八罗汉	shi ba luo han
食断	shi duan
十二番	shi er fan
十二落抬	shi er luo tai
十番	shi fan
十三不搭	shi san bu da
十三不靠	shi san bu kao
十三不塔	shi san bu ta
十三番	shi san fan
十三烂	shi san lan
十三无靠	shi san wu kao
十三幺	shi san yao
十一番	shi yi fan
手牌	shou pai
数牌	shu pai
数字打法	shu zi da fa
数字牌	shu zi pai
双暗杠	shuang an gang
双暗刻	shuang an ke
双北	shuang bei
双北风	shuang bei feng
双倍立直	shuang bei li zhi
双东	shuang dong
双东风	shuang dong feng
双箭刻	shuang jian ke
双立直	shuang li zhi
双六	shuang liu
双龙争珠	shuang long zheng zhu
双明杠	shuang ming gang
双南	shuang nan
双南风	shuang nan feng
双碰听	shuang peng ting
双碰听牌	shuang peng ting pai
双同刻	shuang tong ke
双西	shuang xi
双西风	shuang xi feng
双役满	shuang yi man
顺杠	shun gang
顺位点	shun wei dian
顺子	shun zi
四暗刻	si an ke
四倍满	si bei man
四倍满贯	si bei man guan
四倍役满	si bei yi man
四本场	si ben chang
四饼	si bing
四川麻将	si chuan ma jiang
四番	si fan
四方大发	si fang da fa
四方大发财	si fang da fa cai
四风会	si feng hui
四风连打	si feng lian da
四风牌连打	si feng pai lian da
四杠	si gang
四杠流局	si gang liu ju
四杠子	si gang zi
四归一	si gui yi
四开杠	si kai gang
四连刻	si lian ke
四面子一雀头	si mian zi yi que tou
四人立直	si ren li zhi
四人麻将	si ren ma jiang
四顺子	si shun zi
四索	si suo
四条	si tiao
四筒	si tong
四万	si wan
四喜和	si xi hu
四喜七对	si xi qi dui
四喜七对子	si xi qi dui zi
四向听	si xiang ting
四字刻	si zi ke
索子	suo zi
索子牌	suo zi pai
他家	ta jia
塔子	ta zi
台湾麻将	tai wan ma jiang
太原麻将	tai yuan ma jiang
特快车票	te kuai che piao
特殊役	te shu yi
天凤	tian feng
天和	tian hu
天津麻将	tian jin ma jiang
跳满	tiao man
跳牌	tiao pai
跳牌刻	tiao pai ke
听牌	ting pai
听牌即立直	ting pai ji li zhi
同刻	tong ke
同三句	tong san ju
同顺	tong shun
同四句	tong si ju
筒子牌	tong zi pai
头杠和	tou gang he
推不倒	tui bu dao
万贯	wan guan
万子牌	wan zi pai
王牌	wang pai
未听	wei ting
未听牌	wei ting pai
危险牌	wei xian pai
文钱	wen qian
温州麻将	wen zhou ma jiang
五本场	wu ben chang
五饼	wu bing
五饼开花	wu bing kai hua
无财神	wu cai shen
五番	wu fan
无番和	wu fan hu
武汉麻将	wu han ma jiang
五门齐	wu men qi
五千点棒	wu qian dian bang
五三	wu san
五索	wu suo
五条	wu tiao
五筒	wu tong
五筒开花	wu tong kai hua
五万	wu wan
五向听	wu xiang ting
五心通贯	wu xin tong guan
无字	wu zi
西二局	xi er ju
西风	xi feng
西风圈	xi feng quan
西家	xi jia
洗牌	xi pai
西入	xi ru
