阿鼻坠空	a bi zhui kong
修罗魔诀	xiu luo mo jue
修罗夜炼	xiu luo ye lian
朽木琴雕听无弦	xiu mu qin diao ting wu xian
休琴忘谱逍遥游	xiu qin wang pu xiao yao you
修儒	xiu ru
修悟离憎	xiu wu li zeng
修真院惨案	xiu zhen yuan can an
旭长辉	xu chang hui
须防邪里邪	xu fang xie li xie
徐福	xu fu
虚绝真玄	xu jue zhen xuan
虚空灭	xu kong mie
旭日昊升	xu ri hao sheng
旭日破夜浩瀚	xu ri po ye hao han
魆妖记	xu yao ji
玄刀幽冥	xuan dao you ming
玄风萧索频吹	xuan feng xiao suo pin chui
玄狐	xuan hu
玄化云殛	xuan hua yun ji
玄黄缥缈共飞辰	xuan huang piao miao gong fei chen
玄冥	xuan ming
玄霜	xuan shuang
玄思塔	xuan si ta
玄思族	xuan si zu
悬天练	xuan tian lian
悬坨秤上两相难	xuan tuo cheng shang liang xiang nan
玄武真道	xuan wu zhen dao
玄影	xuan ying
玄玉府	xuan yu fu
玄之玄	xuan zhi xuan
血不染	xue bu ran
学海无边界	xue hai wu bian jie
雪花伴孤云	xue hua ban gu yun
血狼无恨	xue lang wu hen
血狼爪	xue lang zhua
血龙张翼任回旋	xue long zhang yi ren hui xuan
血脉传承	xue mai chuan cheng
血冥昼晦	xue ming zhou hui
血凝湾月凝湾	xue ning wan yue ning wan
血求道	xue qiu dao
血染尘嚣尽锋芒	xue ran chen xiao jin feng mang
血洒臣虏无间	xue sa chen lu wu jian
血色琉璃树	xue se liu li shu
雪山银燕	xue shan yin yan
血雪	xue xue
血指轮回不超生	xue zhi lun hui bu chao sheng
哑剑残声	ya jian can sheng
阎冰	yan bing
琂伯祖	yan bo zu
燕城三母	yan cheng san mu
燕城无情君	yan cheng wu qing jun
燕穿霄	yan chuan xiao
雁过不留影	yan guo bu liu ying
砚寒清	yan han qing
炎黄蚩尤共居五	yan huang chi you gong ju wu
魇将	yan jiang
烟柳画桥	yan liu hua qiao
掩面卷中孤臣行	yan mian juan zhong gu chen xing
炎魔幻十郎	yan mo huan shi lang
燕娘	yan niang
檐前负笈	yan qian fu ji
焉求安乐定皇渊	yan qiu an le ding huang yuan
炎饕餮	yan tao tie
焱饕餮	yan tao tie
炎梼杌	yan tao wu
阎途十部众	yan tu shi bu zhong
燕驼龙	yan tuo long
雁王	yan wang
阎王低头	yan wang di tou
阎王鬼途	yan wang gui tu
阎王借魂	yan wang jie hun
阎王翎	yan wang ling
烟硝葬云灭	yan xiao zang yun mie
烟雨拂柳剑回风	yan yu fu liu jian hui feng
烟雨还似九月霜	yan yu hai si jiu yue shuang
言语在时君识否	yan yu zai shi jun shi fou
燕云初	yan yun chu
砚仔	yan zai
焉知洼藏鲲	yan zhi wa cang kun
燕子剑	yan zi jian
扬波蹼影不过群鹅	yang bo pu ying bu guo qun e
扬步苍天舞	yang bu cang tian wu
养蚕人	yang can ren
阳九昊	yang jiu hao
养天地之正气	yang tian di zhi zheng qi
姚百世	yao bai shi
药戥秤	yao deng cheng
瑶妃	yao fei
瑶光破军	yao guang po jun
姚金池	yao jin chi
祅灵祭国	yao ling ji guo
姚明月	yao ming yue
榣山闻声鸾凤鸣	yao shan wen sheng luan feng ming
药神	yao shen
妖神将	yao shen jiang
药师如来	yao shi ru lai
妖无泪	yao wu lei
遥星公子别小楼	yao xing gong zi bie xiao lou
夜半人间冷月来	ye ban ren jian leng yue lai
夜叉瞳	ye cha tong
夜蝶飞阶霎微雨阙	ye die fei jie sha wei yu que
叶欢慈	ye huan ci
叶落清秋无依处	ye luo qing qiu wu yi chu
夜明无意锁深宫	ye ming wu yi suo shen gong
业魔障	ye mo zhang
叶秋声	ye qiu sheng
夜雾茫茫夜色暗暗	ye wu mang mang ye se an an
夜鹰	ye ying
夜雨凋枫戚寒雨	ye yu diao feng qi han yu
夜雨满红尘	ye yu man hong chen
夜雨捻花不沾身	ye yu nian hua bu zhan shen
冶云子	ye yun zi
一步江湖几忘龄	yi bu jiang hu ji wang ling
忆初心	yi chu xin
衣川紫	yi chuan zi
一道通四神	yi dao tong si shen
翊地鹤王	yi di he wang
一点红	yi dian hong
一点破六害	yi dian po liu hai
异儿	yi er
一个法钵锁怨魂	yi ge fa bo suo yuan hun
一个转身无人还	yi ge zhuan shen wu ren hai
羿鬼晨	yi gui chen
燚混沌	yi hun dun
懿嘉	yi jia
一箭沉世九日无生	yi jian chen shi jiu ri wu sheng
一剑随风	yi jian sui feng
一介山人来复往	yi jie shan ren lai fu wang
黓龙君	yi long jun
逸敏师太	yi min shi tai
一片神鳞渡太虚	yi pian shen lin du tai xu
一抔黄土评愚圣	yi pou huang tu ping yu sheng
一气化九百	yi qi hua jiu bai
一任晚山相对愁	yi ren wan shan xiang dui chou
疑人显己之诈	yi ren xian ji zhi zha
一生挚心静无风	yi sheng zhi xin jing wu feng
一世休	yi shi xiu
一诗一剑定风波	yi shi yi jian ding feng bo
意守一念力如山	yi shou yi nian li ru shan
一帖妙方万物苏	yi tie miao fang wan wu su
意通十玄	yi tong shi xuan
益王	yi wang
一望无边罪孽	yi wang wu bian zui nie
忆无心	yi wu xin
一袭寒云谁过往	yi xi han yun shui guo wang
一袭夜火烬	yi xi ye huo jin
移星幻斗	yi xing huan dou
一玥光华映九湘	yi yue guang hua ying jiu xiang
一杖贯三元	yi zhang guan san yuan
一指风雷	yi zhi feng lei
一柱擎天	yi zhu qing tian
银鞍照白马	yin an zhao bai ma
银蛾	yin e
阴风惨惨阴雾茫茫	yin feng can can yin wu mang mang
阴符七术	yin fu qi shu
阴鬼双刃	yin gui shuang ren
因果失惧	yin guo shi ju
因果循环有定数	yin guo xun huan you ding shu
阴间不死鬼	yin jian bu si gui
阴九玄	yin jiu xuan
殷若微	yin ruo wei
银裳埋香	yin shang mai xiang
银霜溪苔曳	yin shuang xi tai ye
银涛波冷	yin tao bo leng
阴阳古秘录	yin yang gu mi lu
阴阳碎骨掌	yin yang sui gu zhang
阴阳学宗	yin yang xue zong
阴阳一气	yin yang yi qi
隐者飘踪	yin zhe piao zong
银庄蜘蛛恨	yin zhuang zhi zhu hen
迎辰夜雨陌云桑	ying chen ye yu mo yun sang
樱吹雪	ying chui xue
迎风笑语不寻常	ying feng xiao yu bu xun chang
迎风一菊泣花残	ying feng yi ju qi hua can
影嶙峋几度寒	ying lin xun ji du han
应龙	ying long
应龙师	ying long shi
鹰女	ying nv
应童律	ying tong lv
影桐双夜人	ying tong shuang ye ren
盈曦	ying xi
应晓谪仙鸿鹄志	ying xiao zhe xian hong hu zhi
影形	ying xing
映雪	ying xue
鹰燕龙虎榜	ying yan long hu bang
鹰眼龙虎榜	ying yan long hu bang
鹰尊	ying zun
咏天涯	yong tian ya
庸贤石上覆青苔	yong xian shi shang fu qing tai
幽暗联盟	you an lian meng
右弼破隐神	you bi po yin shen
优钵昙摩	you bo tan mo
油咖喱	you ga li
幽居三界中	you ju san jie zhong
幽兰孤芳君	you lan gu fang jun
幽兰居	you lan ju
猷朗	you lang
幽灵魔刀	you ling mo dao
幽梅	you mei
幽冥君	you ming jun
又恼丑孔明	you nao chou kong ming
悠然四望起彷徨	you ran si wang qi pang huang
右文丞	you wen cheng
幽雪	you xue
玉笔难图	yu bi nan tu
御兵韬	yu bing tao
鱼骨刺刺鱼肉甘甘	yu gu ci ci yu rou gan gan
羽国	yu guo
欲海临世	yu hai lin shi
玉衡廉贞	yu heng lian zhen
玉衡廉贞君子宿	yu heng lian zhen jun zi su
羽化神功	yu hua shen gong
御魂笑光辉	yu hun xiao guang hui
羽姬	yu ji
欲见毒邪无他法	yu jian du xie wu ta fa
郁剑须臾	yu jian xu yu
御麟箭	yu lin jian
玉律长曲动幽冥	yu lv chang qu dong you ming
玉律惊声动幽冥	yu lv jing sheng dong you ming
雨缥缈	yu piao miao
玉千城	yu qian cheng
御前诛圣	yu qian zhu sheng
欲卿	yu qing
欲入神蛊峰	yu ru shen gu feng
玉碎三魂冷	yu sui san hun leng
御韬号令万军势	yu tao hao ling wan jun shi
玉彤	yu tong
鱼线细细鱼钩尖尖	yu xian xi xi yu gou jian jian
雨相	yu xiang
雨响飞檐	yu xiang fei yan
欲星移	yu xing yi
禹晔授真	yu ye shou zhen
御医郎	yu yi lang
御医门	yu yi men
雨音霜	yu yin shuang
雨音焱	yu yin yan
愿此佛声渡尘界	yuan ci fo sheng du chen jie
远君辞	yuan jun ci
辕门策令战骁驰	yuan men ce ling zhan xiao chi
远浦三更收宝剑	yuan pu san geng shou bao jian
元鯓幻斗	yuan shen huan dou
愿溯古今察人事	yuan su gu jin cha ren shi
原纹绣罪狷螭狂	yuan wen xiu zui juan chi kuang
元邪皇	yuan xie huang
渊章若守鳘青黛	yuan zhang ruo shou min qing dai
愿坠三途灭千魔	yuan zhui san tu mie qian mo
元尊现世魔之王	yuan zun xian shi mo zhi wang
愿作凡间逍遥人	yuan zuo fan jian xiao yao ren
岳寒笙	yue han sheng
月荒凉	yue huang liang
岳灵休	yue ling xiu
月凝湾血凝湾	yue ning wan xue ning wan
岳擎北云	yue qing bei yun
岳万丘	yue wan qiu
月牙岚	yue ya lan
月牙泪	yue ya lei
月映雪寒	yue ying xue han
运策当知天下势	yun ce dang zhi tian xia shi
殒飞流	yun fei liu
云海过客	yun hai guo ke
耘海可探珊瑚珍	yun hai ke tan shan hu zhen
云络天女	yun luo tian nv
云泥共祀狼烟	yun ni gong si lang yan
云飘踪	yun piao zong
云七	yun qi
云棋水镜黓龙君	yun qi shui jing yi long jun
云十方	yun shi fang
云天关	yun tian guan
云天铢	yun tian zhu
云为山	yun wei shan
允孝思	yun xiao si
云移日也昏	yun yi ri ye hun
云中难觅五形气	yun zhong nan mi wu xing qi
云州	yun zhou
云州大儒侠	yun zhou da ru xia
沄主	yun zhu
再创神荒	zai chuang shen huang
再至无边境	zai zhi wu bian jing
葬骨岭	zang gu ling
造化接骨膏	zao hua jie gu gao
泽国战图	ze guo zhan tu
翟地鴊王	zhai di zheng wang
战别西楼杀生天	zhan bie xi lou sha sheng tian
战兵卫	zhan bing wei
斩敌颅	zhan di lu
战旗扬幡兵道寒	zhan qi yang fan bing dao han
湛然秋水换兵戎	zhan ran qiu shui huan bing rong
战血天道	zhan xue tian dao
掌生握死幽冥君	zhang sheng wo si you ming jun
掌天兮	zhang tian xi
帐下刀弓立森森	zhang xia dao gong li sen sen
张引弦	zhang yin xian
掌中紫微云阵卷	zhang zhong zi wei yun zhen juan
赵参	zhao can
赵姬	zhao ji
赵客缦胡缨	zhao ke man hu ying
赵无迹	zhao wu ji
朝夕剑	zhao xi jian
折兵锋	zhe bing feng
缜儿	zhen er
镇海四权	zhen hai si quan
镇河岳	zhen he yue
珍珑霜焰	zhen long shuang yan
珍珑髓	zhen long sui
真龙现踪	zhen long xian zong
真眉	zhen mei
真情真意终流露	zhen qing zhen yi zhong liu lu
真情真意自流露	zhen qing zhen yi zi liu lu
真田隆三	zhen tian long san
枕卧流水梦浮世	zhen wo liu shui meng fu shi
鸩罂粟	zhen ying su
征尘万顷祭苍茫	zheng chen wan qing ji cang mang
征伐	zheng fa
蒸河吞顶峰	zheng he tun ding feng
徵姬	zheng ji
正气神罡	zheng qi shen gang
争似蠹鱼逐字爬	zheng si du yu zhu zi pa
争似空凭利与名	zheng si kong ping li yu ming
正邪无用	zheng xie wu yong
织魂夜断	zhi hun ye duan
执剑师	zhi jian shi
雉翎	zhi ling
治屏蓬	zhi ping peng
至人无己	zhi ren wu ji
纸碎形余空伞骨	zhi sui xing yu kong san gu
支颐独坐叹天下	zhi yi du zuo tan tian xia
织云手	zhi yun shou
知足则仙凡翼路	zhi zu ze xian fan yi lu
中谷大娘	zhong gu da niang
重黎	zhong li
重黎劫变	zhong li jie bian
钟山鼓	zhong shan gu
终式万马震江山	zhong shi wan ma zhen jiang shan
钟响南屏	zhong xiang nan ping
中兴百武会	zhong xing bai wu hui
中原	zhong yuan
中岳联盟	zhong yue lian meng
纣绝	zhou jue
咒命七罡字	zhou ming qi gang zi
诸葛策	zhu ge ce
诸葛武侯	zhu ge wu hou
朱凰降中土	zhu huang jiang zhong tu
朱凰蚀炎	zhu huang shi yan
烛龙	zhu long
烛龙焚天	zhu long fen tian
朱雀天火	zhu que tian huo
卓然尘外执天刑	zhuo ran chen wai zhi tian xing
濯足越清溪	zhuo zu yue qing xi
字痕婉	zi hen wan
紫金钵	zi jin bo
紫金殿	zi jin dian
紫睛魔瞳	zi jing mo tong
紫荆暮春女	zi jing mu chun nv
滋生而灭谓天葬	zi sheng er mie wei tian zang
紫瞳灵睛	zi tong ling jing
紫薇恒	zi wei heng
紫微星宗	zi wei xing zong
紫微垣卷	zi wei yuan juan
缁衣抽缕物换星移	zi yi chou lv wu huan xing yi
自在如吾	zi zai ru wu
纵步杀虚影	zong bu sha xu ying
总舵主	zong duo zhu
纵横家	zong heng jia
纵横一刀	zong heng yi dao
宗酋	zong qiu
走影变化难预测	zou ying bian hua nan yu ce
祖师	zu shi
醉里挑灯看剑处	zui li tiao deng kan jian chu
罪民	zui min
醉僧帖	zui seng tie
醉仰观岚景悠哉	zui yang guan lan jing you zai
罪者	zui zhe
左辅掀洞庭	zuo fu xian dong ting
左将军	zuo jiang jun
昨颜非	zuo yan fei
